               ARIMA     ARIMA_dec     ARIMA_dim      ARIMA_pos      LSTM_dim   Prophet_dim      LSTM_dec   Prophet_dec   LSTM_tot_pos  Prophet_tot_pos           LSTM        Prophet
2020-04-22  186686.0  25087.199910  53897.101944  107201.057888  53390.868527  52175.318813  25627.969808  25297.959874  109937.206374    110895.041348  185537.257288  188319.710735
2020-04-23  189415.0  25551.633717  56196.457792  106712.411698  55859.592236  54070.231029  26202.529373  25820.701190  110401.451895    111970.206711  187845.298937  191861.233586
2020-04-24  192144.0  26042.917181  58469.704669  106242.328406  58345.588177  56003.634717  26768.082758  26414.916219  110834.363065    113018.509875  190020.241619  195525.519468
2020-04-25  194873.0  26524.098664  60711.164823  105790.102839  60900.322439  58015.557230  27337.478310  26949.813951  111222.739017    114365.303361  192045.155024  199450.463280
2020-04-26  197602.0  26966.045634  62984.268632  105355.056608  63546.098839  59798.181601  27915.592172  27444.757172  111586.632190    115660.951191  193947.219637  202992.149756
2020-04-27  200331.0  27461.244067  65205.611831  104936.537099  66344.225190  61557.683449  28501.125998  27952.309957  111964.962604    116327.627295  195786.556681  205763.763045
2020-04-28  203060.0  27962.583988  67505.981427  104533.916487  69186.288708  63490.995359  29086.037087  28495.874636  112397.242708    116704.423568  197518.201176  208593.798155
2020-04-29  205789.0  28414.126070  69843.094229  104146.590798  72217.307255  65149.353710  29627.503497  29048.040248  112684.429183    117791.769899  199231.907864  211957.138262
2020-04-30  208518.0  28852.041164  72153.741685  103773.979001  75368.505607  67044.265926  30160.172285  29570.781564  112946.257114    118866.935262  200865.650042  215498.661113
2020-05-01  211247.0  29330.923354  74456.674678  103415.522140  78658.023297  68977.669614  30684.575128  30164.996593  113185.662890    119915.238426  202424.925133  219162.946994
2020-05-02  213976.0  29784.675826  76735.275307  103070.682491  82099.620293  70989.592126  31199.560551  30699.894325  113405.170773    121262.031912  203917.289356  223087.890806
2020-05-03  216705.0  30222.215657  79078.086099  102738.942757  85706.441451  72772.216497  31703.389591  31194.837546  113606.145926    122557.679742  205348.459156  226629.577282
2020-05-04  219434.0  30679.410049  81390.665753  102419.805293  89483.991990  74531.718346  32194.241039  31702.390331  113786.914094    123224.355846  206719.573441  229401.190571
2020-05-05  222163.0  31157.190296  83703.245407  102112.791358  93455.849000  76465.030255  32671.075042  32245.955010  113942.787358    123601.152119  208035.779200  232231.225682
